id,start_time,end_time,score,coins_collected,ufos_shot,bullets_fired,death_reason,game_duration,pipes_passed
plane_1763296412897,2025-11-16 12:33:32.897000+00:00,2025-11-16 12:33:40.650000+00:00,8,2,2,33,pipe,7,3
plane_1763296421212,2025-11-16 12:33:41.212000+00:00,2025-11-16 12:33:44.999000+00:00,6,0,2,31,pipe,3,1
plane_1763296425226,2025-11-16 12:33:45.226000+00:00,2025-11-16 12:33:45.949000+00:00,0,0,0,0,ground,0,0
plane_1763296426741,2025-11-16 12:33:46.741000+00:00,2025-11-16 12:33:47.465000+00:00,0,0,0,0,ground,0,0
plane_1763296427702,2025-11-16 12:33:47.702000+00:00,2025-11-16 12:33:48.415000+00:00,0,0,0,0,ground,0,0
plane_1763296428948,2025-11-16 12:33:48.948000+00:00,2025-11-16 12:33:49.665000+00:00,0,0,0,0,ground,0,0
plane_1763296429950,2025-11-16 12:33:49.950000+00:00,2025-11-16 12:33:54.182000+00:00,6,0,2,25,pipe,4,2
plane_1763296435012,2025-11-16 12:33:55.012000+00:00,2025-11-16 12:33:55.732000+00:00,0,0,0,0,ground,0,0
plane_1763296435967,2025-11-16 12:33:55.967000+00:00,2025-11-16 12:33:56.699000+00:00,0,0,0,0,ground,0,0
plane_1763296437259,2025-11-16 12:33:57.259000+00:00,2025-11-16 12:34:01.782000+00:00,7,1,2,41,pipe,4,2
plane_1763296442337,2025-11-16 12:34:02.337000+00:00,2025-11-16 12:34:03.066000+00:00,0,0,0,0,ground,0,0
plane_1763296536969,2025-11-16 12:35:36.969000+00:00,2025-11-16 12:35:37.897000+00:00,0,0,0,0,ground,0,0
plane_1763296538707,2025-11-16 12:35:38.707000+00:00,2025-11-16 12:35:43.131000+00:00,7,1,2,38,pipe,4,2
plane_1763296543369,2025-11-16 12:35:43.369000+00:00,2025-11-16 12:35:44.131000+00:00,0,0,0,0,ground,0,0
plane_1763296544950,2025-11-16 12:35:44.950000+00:00,2025-11-16 12:35:45.748000+00:00,0,0,0,0,ground,0,0
plane_1763296545987,2025-11-16 12:35:45.987000+00:00,2025-11-16 12:35:46.764000+00:00,0,0,0,0,ground,0,0
plane_1763296656644,2025-11-16 12:37:36.644000+00:00,2025-11-16 12:37:37.329000+00:00,0,0,0,0,ground,0,0
plane_1763296658148,2025-11-16 12:37:38.148000+00:00,2025-11-16 12:37:57.930000+00:00,29,8,7,32,pipe,19,9
plane_1763296678735,2025-11-16 12:37:58.735000+00:00,2025-11-16 12:38:13.996000+00:00,21,6,5,32,enemy_bullet,15,7
plane_1763296694774,2025-11-16 12:38:14.774000+00:00,2025-11-16 12:38:17.595000+00:00,6,0,2,11,ground,2,1
plane_1763296762242,2025-11-16 12:39:22.242000+00:00,2025-11-16 12:39:29.346000+00:00,5,2,1,13,enemy_bullet,7,3
plane_1763296770159,2025-11-16 12:39:30.159000+00:00,2025-11-16 12:39:33.995000+00:00,3,0,1,34,pipe,3,1
plane_1763296774242,2025-11-16 12:39:34.242000+00:00,2025-11-16 12:39:35.011000+00:00,0,0,0,0,ground,0,0
plane_1763296775811,2025-11-16 12:39:35.811000+00:00,2025-11-16 12:39:59.378000+00:00,0,0,0,0,ground,23,0
plane_1763296799931,2025-11-16 12:39:59.931000+00:00,2025-11-16 12:40:00.711000+00:00,0,0,0,0,ground,0,0
plane_1763297047247,2025-11-16 12:44:07.247000+00:00,2025-11-16 12:44:11.208000+00:00,0,0,0,6,pipe,3,1
plane_1763297052013,2025-11-16 12:44:12.013000+00:00,2025-11-16 12:44:16.259000+00:00,6,0,2,22,pipe,4,2
plane_1763297056510,2025-11-16 12:44:16.510000+00:00,2025-11-16 12:44:17.275000+00:00,0,0,0,0,ground,0,0
plane_1763297058103,2025-11-16 12:44:18.103000+00:00,2025-11-16 12:44:21.976000+00:00,6,0,2,19,pipe,3,1
plane_1763297062216,2025-11-16 12:44:22.216000+00:00,2025-11-16 12:44:22.975000+00:00,0,0,0,0,ground,0,0
plane_1763297343732,2025-11-16 12:49:03.732000+00:00,2025-11-16 12:49:07.555000+00:00,3,0,1,13,pipe,3,1
plane_1763297348102,2025-11-16 12:49:08.102000+00:00,2025-11-16 12:49:08.838000+00:00,0,0,0,0,ground,0,0
plane_1763297349505,2025-11-16 12:49:09.505000+00:00,2025-11-16 12:49:10.255000+00:00,0,0,0,0,ground,0,0
plane_1763297350792,2025-11-16 12:49:10.792000+00:00,2025-11-16 12:49:11.538000+00:00,0,0,0,0,ground,0,0
plane_1763297352122,2025-11-16 12:49:12.122000+00:00,2025-11-16 12:49:12.888000+00:00,0,0,0,0,ground,0,0
plane_1763297353713,2025-11-16 12:49:13.713000+00:00,2025-11-16 12:49:14.888000+00:00,0,0,0,0,ground,1,0
plane_1763297355408,2025-11-16 12:49:15.408000+00:00,2025-11-16 12:49:16.138000+00:00,0,0,0,0,ground,0,0
plane_1763297487611,2025-11-16 12:51:27.611000+00:00,2025-11-16 12:51:28.487000+00:00,0,0,0,0,ground,0,0
plane_1763297489312,2025-11-16 12:51:29.312000+00:00,2025-11-16 12:51:30.087000+00:00,0,0,0,0,ground,0,0
plane_1763297490323,2025-11-16 12:51:30.323000+00:00,2025-11-16 12:51:31.120000+00:00,0,0,0,0,ground,0,0
plane_1763297491780,2025-11-16 12:51:31.780000+00:00,2025-11-16 12:51:32.554000+00:00,0,0,0,0,ground,0,0
plane_1763297492801,2025-11-16 12:51:32.801000+00:00,2025-11-16 12:51:33.570000+00:00,0,0,0,0,ground,0,0
plane_1763297494115,2025-11-16 12:51:34.115000+00:00,2025-11-16 12:51:46.287000+00:00,10,4,2,31,pipe,12,6
plane_1763297506944,2025-11-16 12:51:46.944000+00:00,2025-11-16 12:51:47.703000+00:00,0,0,0,0,ground,0,0
plane_1763297665116,2025-11-16 12:54:25.116000+00:00,2025-11-16 12:54:26.468000+00:00,0,0,0,0,ground,1,0
plane_1763297667035,2025-11-16 12:54:27.035000+00:00,2025-11-16 12:54:35.252000+00:00,6,0,2,9,pipe,8,2
plane_1763297742076,2025-11-16 12:55:42.076000+00:00,2025-11-16 12:55:45.770000+00:00,0,0,0,5,ground,3,0
plane_1763297762821,2025-11-16 12:56:02.821000+00:00,2025-11-16 12:56:06.084000+00:00,0,0,0,3,ground,3,0
plane_1763298060182,2025-11-16 13:01:00.182000+00:00,2025-11-16 13:01:18.698000+00:00,12,3,3,16,ground,18,4
plane_1763298079551,2025-11-16 13:01:19.551000+00:00,2025-11-16 13:01:21.331000+00:00,0,0,0,0,ground,1,0
plane_1763298081829,2025-11-16 13:01:21.829000+00:00,2025-11-16 13:01:23.731000+00:00,0,0,0,0,ground,1,0
plane_1763298135853,2025-11-16 13:02:15.853000+00:00,2025-11-16 13:02:23.313000+00:00,0,0,0,11,pipe,7,1
plane_1763298388006,2025-11-16 13:06:28.006000+00:00,2025-11-16 13:06:35.727000+00:00,6,0,2,8,pipe,7,1
plane_1763298396291,2025-11-16 13:06:36.291000+00:00,2025-11-16 13:06:44.143000+00:00,3,0,1,9,pipe,7,1
plane_1763298755466,2025-11-16 13:12:35.466000+00:00,2025-11-16 13:12:39.872000+00:00,0,0,0,3,ground,4,1
plane_1763298760411,2025-11-16 13:12:40.411000+00:00,2025-11-16 13:13:13.705000+00:00,31,7,8,33,pipe,33,8
plane_1763298826657,2025-11-16 13:13:46.657000+00:00,2025-11-16 13:13:55.255000+00:00,7,1,2,10,pipe,8,2
plane_1763298843173,2025-11-16 13:14:03.173000+00:00,2025-11-16 13:14:30.088000+00:00,20,5,5,27,enemy_bullet,26,6
plane_1763298874257,2025-11-16 13:14:34.257000+00:00,2025-11-16 13:14:41.906000+00:00,3,0,1,25,pipe,7,1
plane_1763299275913,2025-11-16 13:21:15.913000+00:00,2025-11-16 13:21:31.052000+00:00,9,3,2,10,pipe,15,4
plane_1763299298733,2025-11-16 13:21:38.733000+00:00,2025-11-16 13:21:49.801000+00:00,6,0,2,21,ground,11,3
plane_1763299445506,2025-11-16 13:24:05.506000+00:00,2025-11-16 13:24:20.648000+00:00,6,3,1,17,pipe,15,4
plane_1763299463329,2025-11-16 13:24:23.329000+00:00,2025-11-16 13:24:48.482000+00:00,24,6,6,21,pipe,25,7
plane_1763299533857,2025-11-16 13:25:33.857000+00:00,2025-11-16 13:25:36.880000+00:00,0,0,0,0,ground,3,0
plane_1763299541137,2025-11-16 13:25:41.137000+00:00,2025-11-16 13:26:37.581000+00:00,26,14,4,62,pipe,56,16
plane_1763299617629,2025-11-16 13:26:57.629000+00:00,2025-11-16 13:27:19.647000+00:00,11,5,2,19,pipe,22,6
plane_1763299670840,2025-11-16 13:27:50.840000+00:00,2025-11-16 13:28:19.064000+00:00,19,7,4,25,enemy_bullet,28,8
plane_1763299729250,2025-11-16 13:28:49.250000+00:00,2025-11-16 13:29:11.070000+00:00,20,5,5,20,pipe,21,6
plane_1763299785639,2025-11-16 13:29:45.639000+00:00,2025-11-16 13:30:57.344000+00:00,50,20,10,64,enemy_bullet,71,21
plane_1763299866843,2025-11-16 13:31:06.843000+00:00,2025-11-16 13:31:08.378000+00:00,0,0,0,0,ground,1,0
plane_1763299871000,2025-11-16 13:31:11+00:00,2025-11-16 13:31:40.543000+00:00,26,5,7,45,pipe,29,7
plane_1763299903476,2025-11-16 13:31:43.476000+00:00,2025-11-16 13:32:10.993000+00:00,15,6,3,22,pipe,27,7
plane_1763300247256,2025-11-16 13:37:27.256000+00:00,2025-11-16 13:38:01.840000+00:00,27,9,6,35,enemy_bullet,34,10
plane_1763300615836,2025-11-16 13:43:35.836000+00:00,2025-11-16 13:44:00.669000+00:00,38,14,8,67,pipe,24,14
plane_1763300644008,2025-11-16 13:44:04.008000+00:00,2025-11-16 13:45:40.203000+00:00,128,56,24,171,pipe,96,57
plane_1763301316053,2025-11-16 13:55:16.053000+00:00,2025-11-16 13:55:20.345000+00:00,4,1,1,24,pipe,4,2
plane_1763301322650,2025-11-16 13:55:22.650000+00:00,2025-11-16 13:55:37.094000+00:00,22,7,5,50,pipe,14,8
plane_1763301799623,2025-11-16 14:03:19.623000+00:00,2025-11-16 14:04:09.355000+00:00,83,29,18,99,pipe,49,29
plane_1763302666814,2025-11-16 14:17:46.814000+00:00,2025-11-16 14:18:29.945000+00:00,64,25,13,78,pipe,43,25
plane_1763304154324,2025-11-16 14:42:34.324000+00:00,2025-11-16 14:42:36.945000+00:00,3,0,1,13,pipe,2,1
plane_1763304158507,2025-11-16 14:42:38.507000+00:00,2025-11-16 14:43:05.695000+00:00,42,15,9,55,enemy_bullet,27,16
plane_1763304721512,2025-11-16 14:52:01.512000+00:00,2025-11-16 14:52:05.821000+00:00,7,1,2,16,pipe,4,2
plane_1763304738741,2025-11-16 14:52:18.741000+00:00,2025-11-16 14:52:46.372000+00:00,48,15,11,54,pipe,27,16
plane_1763307034614,2025-11-16 15:30:34.614000+00:00,2025-11-16 15:30:54.313000+00:00,29,11,6,52,pipe,19,11
plane_1763307165602,2025-11-16 15:32:45.602000+00:00,2025-11-16 15:32:46.411000+00:00,0,0,0,0,ground,0,0
plane_1763307171653,2025-11-16 15:32:51.653000+00:00,2025-11-16 15:32:52.461000+00:00,0,0,0,0,ground,0,0
plane_1763307174646,2025-11-16 15:32:54.646000+00:00,2025-11-16 15:32:57.279000+00:00,6,0,2,21,pipe,2,1
plane_1763307180285,2025-11-16 15:33:00.285000+00:00,2025-11-16 15:33:03.129000+00:00,6,0,2,15,pipe,2,1
plane_1763307208046,2025-11-16 15:33:28.046000+00:00,2025-11-16 15:33:28.862000+00:00,0,0,0,0,ground,0,0
plane_1763307216797,2025-11-16 15:33:36.797000+00:00,2025-11-16 15:34:10.427000+00:00,52,19,11,61,enemy_bullet,33,20
plane_1763307648801,2025-11-16 15:40:48.801000+00:00,2025-11-16 15:41:17.456000+00:00,37,16,7,56,enemy_bullet,28,17
plane_1763307720761,2025-11-16 15:42:00.761000+00:00,2025-11-16 15:42:05.688000+00:00,8,2,2,22,pipe,4,2
plane_1763307727224,2025-11-16 15:42:07.224000+00:00,2025-11-16 15:42:18.205000+00:00,17,5,4,34,pipe,10,6
plane_1763307750093,2025-11-16 15:42:30.093000+00:00,2025-11-16 15:42:33.289000+00:00,7,1,2,20,pipe,3,1
plane_1763307756369,2025-11-16 15:42:36.369000+00:00,2025-11-16 15:42:41.020000+00:00,7,1,2,15,pipe,4,2
plane_1763307764976,2025-11-16 15:42:44.976000+00:00,2025-11-16 15:43:01.171000+00:00,32,8,8,43,pipe,16,8
plane_1763307784556,2025-11-16 15:43:04.556000+00:00,2025-11-16 15:43:09.138000+00:00,7,1,2,29,pipe,4,2
